|∑|,|s1|,|s2|,Fração de operações conservativas,CG_Best_objective,CG_Best_bound,CG_Gap,CG_Tempo_estruturas,CG_Tempo_modelo,CG_Tempo_total,CS_Best_objective,CS_Best_bound,CS_Gap,CS_Tempo_estruturas,CS_Tempo_modelo,CS_Tempo_total,CB_Best_objective,CB_Best_bound,CB_Gap,CB_Tempo_estruturas,CB_Tempo_modelo,CB_Tempo_total
Random,Random,Random,Random,5.000000000000e+00,5.000000000000e+00,0.0000%,0.052794,0.067364,N/A,,,,,,,,,,,,
Random,Random,Random,Random,6.000000000000e+00,6.000000000000e+00,0.0000%,0.005563,0.017356,N/A,,,,,,,,,,,,
Random,Random,Random,Random,8.000000000000e+00,8.000000000000e+00,0.0000%,0.006092,0.014467,N/A,,,,,,,,,,,,
Random,Random,Random,Random,2.000000000000e+00,2.000000000000e+00,0.0000%,0.052698,0.058038,N/A,,,,,,,,,,,,
1000,1000,1000,Random,5.030000000000e+02,5.030000000000e+02,0.0000%,2132.953868,4263.788462,N/A,,,,,,,,,,,,
1000,1000,1000,Random,4.180000000000e+02,4.130000000000e+02,1.1962%,2034.807396,5644.355287,N/A,,,,,,,,,,,,
1000,1000,1000,Random,6.350000000000e+02,6.350000000000e+02,0.0000%,1942.089619,4474.807229,N/A,,,,,,,,,,,,
1000,1000,1000,Random,6.440000000000e+02,6.390000000000e+02,0.7764%,2179.956441,5797.685967,N/A,,,,,,,,,,,,
1000,1000,1000,Random,6.380000000000e+02,6.310000000000e+02,1.0972%,2171.593015,5775.417768,N/A,,,,,,,,,,,,
1000,1000,1000,Random,6.350000000000e+02,6.290000000000e+02,0.9449%,2175.017157,5779.837022,N/A,,,,,,,,,,,,
120,100,100,1,8.700000000000e+01,8.700000000000e+01,0.0000%,1.524538,0.071241,1.595778,8.700000000000e+01,8.700000000000e+01,0.0000%,0.106925,0.042223,0.149147,8.700000000000e+01,8.700000000000e+01,0.0000%,0.133124,0.138406,0.271529
120,100,100,2,8.500000000000e+01,8.500000000000e+01,0.0000%,1.524243,0.064903,1.589146,8.500000000000e+01,8.500000000000e+01,0.0000%,0.109059,0.030271,0.139330,8.500000000000e+01,8.500000000000e+01,0.0000%,0.130393,0.058996,0.189389
120,100,100,3,8.600000000000e+01,8.600000000000e+01,0.0000%,1.570687,0.063813,1.634500,8.600000000000e+01,8.600000000000e+01,0.0000%,0.159623,0.025456,0.185078,8.600000000000e+01,8.600000000000e+01,0.0000%,0.174435,0.060081,0.234517
120,100,100,4,8.900000000000e+01,8.900000000000e+01,0.0000%,1.516907,0.058208,1.575115,8.900000000000e+01,8.900000000000e+01,0.0000%,0.099362,0.030548,0.129910,8.900000000000e+01,8.900000000000e+01,0.0000%,0.118904,0.053983,0.172887
120,100,100,5,8.500000000000e+01,8.500000000000e+01,0.0000%,1.517417,0.043770,1.561187,8.500000000000e+01,8.500000000000e+01,0.0000%,0.101643,0.020117,0.121760,8.500000000000e+01,8.500000000000e+01,0.0000%,0.127900,0.040911,0.168812
20,100,100,0.6,7.300000000000e+01,7.300000000000e+01,0.0000%,1.151117,0.030961,1.182079,7.300000000000e+01,7.300000000000e+01,0.0000%,0.099650,0.010325,0.109975,7.300000000000e+01,7.300000000000e+01,0.0000%,0.097462,0.025062,0.122524
20,100,100,0.8,8.200000000000e+01,8.200000000000e+01,0.0000%,1.150343,0.034476,1.184818,8.200000000000e+01,8.200000000000e+01,0.0000%,0.088207,0.010580,0.098787,8.200000000000e+01,8.200000000000e+01,0.0000%,0.094810,0.029867,0.124677
20,100,100,0.6,7.800000000000e+01,7.800000000000e+01,0.0000%,1.149557,0.029824,1.179382,7.800000000000e+01,7.800000000000e+01,0.0000%,0.092129,0.010564,0.102693,7.800000000000e+01,7.800000000000e+01,0.0000%,0.093506,0.023174,0.116680
20,100,100,0.8,8.100000000000e+01,8.100000000000e+01,0.0000%,1.148090,0.029995,1.178085,8.100000000000e+01,8.100000000000e+01,0.0000%,0.081689,0.009955,0.091645,8.100000000000e+01,8.100000000000e+01,0.0000%,0.092201,0.025319,0.117519
20,100,100,0.6,7.700000000000e+01,7.700000000000e+01,0.0000%,1.148927,0.027262,1.176189,7.700000000000e+01,7.700000000000e+01,0.0000%,0.089489,0.009874,0.099363,7.700000000000e+01,7.700000000000e+01,0.0000%,0.089670,0.024623,0.114293
20,100,100,0.8,7.900000000000e+01,7.900000000000e+01,0.0000%,1.152223,0.031886,1.184109,7.900000000000e+01,7.900000000000e+01,0.0000%,0.095909,0.011304,0.107213,7.900000000000e+01,7.900000000000e+01,0.0000%,0.094868,0.022900,0.117768
20,100,100,0.6,7.700000000000e+01,7.700000000000e+01,0.0000%,1.152339,0.029256,1.181596,7.700000000000e+01,7.700000000000e+01,0.0000%,0.087492,0.010337,0.097829,7.700000000000e+01,7.700000000000e+01,0.0000%,0.090946,0.021385,0.112330
20,100,100,0.8,7.500000000000e+01,7.500000000000e+01,0.0000%,1.153401,0.028563,1.181964,7.500000000000e+01,7.500000000000e+01,0.0000%,0.097325,0.009821,0.107145,7.500000000000e+01,7.500000000000e+01,0.0000%,0.091296,0.024420,0.115716
20,100,100,0.6,7.500000000000e+01,7.500000000000e+01,0.0000%,1.151287,0.030630,1.181918,7.500000000000e+01,7.500000000000e+01,0.0000%,0.099872,0.009476,0.109348,7.500000000000e+01,7.500000000000e+01,0.0000%,0.094334,0.022045,0.116378
20,100,100,0.8,8.300000000000e+01,8.300000000000e+01,0.0000%,1.146477,0.030000,1.176477,8.300000000000e+01,8.300000000000e+01,0.0000%,0.080304,0.009372,0.089675,8.300000000000e+01,8.300000000000e+01,0.0000%,0.091206,0.022993,0.114199
15,10,10,1,1.100000000000e+01,1.100000000000e+01,0.0000%,0.009560,0.011269,0.020829,1.100000000000e+01,1.100000000000e+01,0.0000%,0.003728,0.010255,0.013983,1.100000000000e+01,1.100000000000e+01,0.0000%,0.003292,0.007806,0.011098
